created_at,favorite_count,quote_count,reply_count,retweet_count,username,tweet_url,full_text,Label,cleaning,case_folding,tokenize,stopword,stemming,normalized,text_for_tfidf,tfidf_per_word
Sun Oct 23 08:23:44 +0000 2022,6754,100,91,1762,asaibrahim,https://x.com/asaibrahim/status/1584098234531995653,Tulang adalah tempat favorit dari sel kanker pada tubuh kita Seringkali pasien merasakan gejala kanker pada tulangnya nyeri dan sebagainya sebelum menyadari ada kanker di payudara dan sebagainya adanya penyebaran kanker ke tulang menunjukkan kanker sudah stadium 4 sangat sulit sembuh,positif,Tulang adalah tempat favorit dari sel kanker pada tubuh kita Seringkali pasien merasakan gejala kanker pada tulangnya nyeri dan sebagainya sebelum menyadari ada kanker di payudara dan sebagainya adanya penyebaran kanker ke tulang menunjukkan kanker sudah stadium 4 sangat sulit sembuh,tulang adalah tempat favorit dari sel kanker pada tubuh kita seringkali pasien merasakan gejala kanker pada tulangnya nyeri dan sebagainya sebelum menyadari ada kanker di payudara dan sebagainya adanya penyebaran kanker ke tulang menunjukkan kanker sudah stadium 4 sangat sulit sembuh,"['tulang', 'adalah', 'tempat', 'favorit', 'dari', 'sel', 'kanker', 'pada', 'tubuh', 'kita', 'seringkali', 'pasien', 'merasakan', 'gejala', 'kanker', 'pada', 'tulangnya', 'nyeri', 'dan', 'sebagainya', 'sebelum', 'menyadari', 'ada', 'kanker', 'di', 'payudara', 'dan', 'sebagainya', 'adanya', 'penyebaran', 'kanker', 'ke', 'tulang', 'menunjukkan', 'kanker', 'sudah', 'stadium', '4', 'sangat', 'sulit', 'sembuh']","['tulang', 'favorit', 'sel', 'kanker', 'tubuh', 'seringkali', 'pasien', 'merasakan', 'gejala', 'kanker', 'tulangnya', 'nyeri', 'menyadari', 'kanker', 'payudara', 'penyebaran', 'kanker', 'tulang', 'kanker', 'stadium', '4', 'sulit', 'sembuh']","['tulang', 'favorit', 'sel', 'kanker', 'tubuh', 'seringkali', 'pasien', 'rasa', 'gejala', 'kanker', 'tulang', 'nyeri', 'sadar', 'kanker', 'payudara', 'sebar', 'kanker', 'tulang', 'kanker', 'stadium', '4', 'sulit', 'sembuh']","['tulang', 'favorit', 'sel', 'kanker', 'tubuh', 'seringkali', 'pasien', 'rasa', 'gejala', 'kanker', 'tulang', 'nyeri', 'sadar', 'kanker', 'payudara', 'sebar', 'kanker', 'tulang', 'kanker', 'stadium', '4', 'sulit', 'sembuh']",tulang favorit sel kanker tubuh seringkali pasien rasa gejala kanker tulang nyeri sadar kanker payudara sebar kanker tulang kanker stadium 4 sulit sembuh,"[0.32580647479100344, 0.29818549457826427, 0.26998961746953903, 0.09390628797842587, 0.2424677326694263, 0.3862438740550544, 0.24962669924808753, 0.33570916559100145, 0.32877637531306, 0.09390628797842587, 0.32580647479100344, 0.3813474609263494, 0.25736756450772913, 0.09390628797842587, 0.07739545967449547, 0.3255096257917757, 0.09390628797842587, 0.32580647479100344, 0.09390628797842587, 0.26994927940449986, 0, 0.29022429769647673, 0.22642399274539]"
Mon Nov 07 06:01:35 +0000 2022,2064,21,6,2384,KKMPutrajaya,https://x.com/KKMPutrajaya/status/1589498278898696192,Tahukah anda Kanker Payudara adalah kanker tertinggi di Malaysia? Kanker payudara boleh dapat dideteksi pada pemeriksaan awal melalui Pemeriksaan Sendiri Payudara (PSP) melalui 3 Langkah Mudah Langkah Lihat Langkah Rasa Langkah Respon,positif,Tahukah anda Kanker Payudara adalah kanker tertinggi di Malaysia Kanker payudara boleh dapat dideteksi pada pemeriksaan awal melalui Pemeriksaan Sendiri Payudara PSP melalui 3 Langkah Mudah Langkah Lihat Langkah Rasa Langkah Respon,tahukah anda kanker payudara adalah kanker tertinggi di malaysia kanker payudara boleh dapat dideteksi pada pemeriksaan awal melalui pemeriksaan sendiri payudara psp melalui 3 langkah mudah langkah lihat langkah rasa langkah respon,"['tahukah', 'anda', 'kanker', 'payudara', 'adalah', 'kanker', 'tertinggi', 'di', 'malaysia', 'kanker', 'payudara', 'boleh', 'dapat', 'dideteksi', 'pada', 'pemeriksaan', 'awal', 'melalui', 'pemeriksaan', 'sendiri', 'payudara', 'psp', 'melalui', '3', 'langkah', 'mudah', 'langkah', 'lihat', 'langkah', 'rasa', 'langkah', 'respon']","['tahukah', 'kanker', 'payudara', 'kanker', 'tertinggi', 'malaysia', 'kanker', 'payudara', 'dideteksi', 'pemeriksaan', 'pemeriksaan', 'payudara', 'psp', '3', 'langkah', 'mudah', 'langkah', 'lihat', 'langkah', 'langkah', 'respon']","['tahu', 'kanker', 'payudara', 'kanker', 'tinggi', 'malaysia', 'kanker', 'payudara', 'deteksi', 'periksa', 'periksa', 'payudara', 'psp', '3', 'langkah', 'mudah', 'langkah', 'lihat', 'langkah', 'langkah', 'respon']","['tahu', 'kanker', 'payudara', 'kanker', 'tinggi', 'malaysia', 'kanker', 'payudara', 'deteksi', 'periksa', 'periksa', 'payudara', 'psp', '3', 'langkah', 'mudah', 'langkah', 'lihat', 'langkah', 'langkah', 'respon']",tahu kanker payudara kanker tinggi malaysia kanker payudara deteksi periksa periksa payudara psp 3 langkah mudah langkah lihat langkah langkah respon,"[0.3048482513221446, 0.09390628797842587, 0.07739545967449547, 0.09390628797842587, 0.3449327837979475, 0.27787899829660867, 0.09390628797842587, 0.07739545967449547, 0.19947778906820834, 0.29004405195606514, 0.29004405195606514, 0.07739545967449547, 0.2310194352745986, 0, 0.45421936771678695, 0.30062685640735337, 0.45421936771678695, 0.23265541498057074, 0.45421936771678695, 0.45421936771678695, 0.2596019652355125]"
Tue Oct 25 13:18:04 +0000 2022,358,2,1,31,MySamudera,https://x.com/MySamudera/status/1584897080480665605,tetapi kembar ini diduga lagi apabila ibu mereka Aishah Kandar meninggal dunia akibat kanker payudara pada usia 35 tahun pada tahun 2012,negatif,tetapi kembar ini diduga lagi apabila ibu mereka Aishah Kandar meninggal dunia akibat kanker payudara pada usia 35 tahun pada tahun 2012,tetapi kembar ini diduga lagi apabila ibu mereka aishah kandar meninggal dunia akibat kanker payudara pada usia 35 tahun pada tahun 2012,"['tetapi', 'kembar', 'ini', 'diduga', 'lagi', 'apabila', 'ibu', 'mereka', 'aishah', 'kandar', 'meninggal', 'dunia', 'akibat', 'kanker', 'payudara', 'pada', 'usia', '35', 'tahun', 'pada', 'tahun', '2012']","['kembar', 'diduga', 'aishah', 'kandar', 'meninggal', 'dunia', 'akibat', 'kanker', 'payudara', 'usia', '35', '2012']","['kembar', 'duga', 'aishah', 'kandar', 'tinggal', 'dunia', 'akibat', 'kanker', 'payudara', 'usia', '35', '2012']","['kembar', 'duga', 'aishah', 'kandar', 'tinggal', 'dunia', 'akibat', 'kanker', 'payudara', 'usia', '35', '2012']",kembar duga aishah kandar tinggal dunia akibat kanker payudara usia 35 2012,"[0.27591738250731024, 0.29680031836006576, 0.3937756395599343, 0.3937756395599343, 0.208280794159485, 0.23374512433646394, 0.26972848914225733, 0.09390628797842587, 0.07739545967449547, 0.2711718815642343, 0.2453039186300739, 0.3020962838070407]"
Wed Oct 26 03:03:19 +0000 2022,1,0,0,0,kumparanMOM,https://x.com/kumparanMOM/status/1585104760000204800,Mama Peringatan Hari Kanker Payudara Sedunia jatuh setiap tanggal 26 Oktober. Cegah kanker payudara sedini mungkin dengan rutin melakukan pemeriksaan payudara sendiri (SADARI) atau mamografi.,positif,Mama Peringatan Hari Kanker Payudara Sedunia jatuh setiap tanggal 26 Oktober Cegah kanker payudara sedini mungkin dengan rutin melakukan pemeriksaan payudara sendiri SADARI atau mamografi,mama peringatan hari kanker payudara sedunia jatuh setiap tanggal 26 oktober cegah kanker payudara sedini mungkin dengan rutin melakukan pemeriksaan payudara sendiri sadari atau mamografi,"['mama', 'peringatan', 'hari', 'kanker', 'payudara', 'sedunia', 'jatuh', 'setiap', 'tanggal', '26', 'oktober', 'cegah', 'kanker', 'payudara', 'sedini', 'mungkin', 'dengan', 'rutin', 'melakukan', 'pemeriksaan', 'payudara', 'sendiri', 'sadari', 'atau', 'mamografi']","['mama', 'peringatan', 'kanker', 'payudara', 'sedunia', 'jatuh', 'tanggal', '26', 'oktober', 'cegah', 'kanker', 'payudara', 'sedini', 'rutin', 'pemeriksaan', 'payudara', 'sadari', 'mamografi']","['mama', 'ingat', 'kanker', 'payudara', 'dunia', 'jatuh', 'tanggal', '26', 'oktober', 'cegah', 'kanker', 'payudara', 'din', 'rutin', 'periksa', 'payudara', 'sadar', 'mamografi']","['mama', 'ingat', 'kanker', 'payudara', 'dunia', 'jatuh', 'tanggal', '26', 'oktober', 'cegah', 'kanker', 'payudara', 'din', 'rutin', 'periksa', 'payudara', 'sadar', 'mamografi']",mama ingat kanker payudara dunia jatuh tanggal 26 oktober cegah kanker payudara din rutin periksa payudara sadar mamografi,"[0.31188107250462516, 0.25192701601124956, 0.09390628797842587, 0.07739545967449547, 0.23374512433646394, 0.29336935789361873, 0.2338109405169791, 0.2962440406089792, 0.23911454757984468, 0.24243777162355487, 0.09390628797842587, 0.07739545967449547, 0.323316106867954, 0.3085411554166614, 0.29004405195606514, 0.07739545967449547, 0.25736756450772913, 0.29018932821200805]"
Sat Oct 22 01:38:10 +0000 2022,14,0,0,3,berlianidris,https://x.com/berlianidris/status/1583633782464094210,Kegiatan Ikatan Dokter Indonesia Tangerang di acara Hari Kanker Payudara Sedunia yang diadakan Yayasan Respon Cepat Badan Darurat Kemanusiaan Perhimpunan Dokter Spesialis Penyakit Dalam Indonesia dan Perhimpunan Dokter Spesialis Ilmu Orthopaedi dan Traumatologi Indonesia salah satunya berupa pemeriksaan kesehatan termasuk gula darah kolesterol dan asam urat.,positif,Kegiatan Ikatan Dokter Indonesia Tangerang di acara Hari Kanker Payudara Sedunia yang diadakan Yayasan Respon Cepat Badan Darurat Kemanusiaan Perhimpunan Dokter Spesialis Penyakit Dalam Indonesia dan Perhimpunan Dokter Spesialis Ilmu Orthopaedi dan Traumatologi Indonesia salah satunya berupa pemeriksaan kesehatan termasuk gula darah kolesterol dan asam urat,kegiatan ikatan dokter indonesia tangerang di acara hari kanker payudara sedunia yang diadakan yayasan respon cepat badan darurat kemanusiaan perhimpunan dokter spesialis penyakit dalam indonesia dan perhimpunan dokter spesialis ilmu orthopaedi dan traumatologi indonesia salah satunya berupa pemeriksaan kesehatan termasuk gula darah kolesterol dan asam urat,"['kegiatan', 'ikatan', 'dokter', 'indonesia', 'tangerang', 'di', 'acara', 'hari', 'kanker', 'payudara', 'sedunia', 'yang', 'diadakan', 'yayasan', 'respon', 'cepat', 'badan', 'darurat', 'kemanusiaan', 'perhimpunan', 'dokter', 'spesialis', 'penyakit', 'dalam', 'indonesia', 'dan', 'perhimpunan', 'dokter', 'spesialis', 'ilmu', 'orthopaedi', 'dan', 'traumatologi', 'indonesia', 'salah', 'satunya', 'berupa', 'pemeriksaan', 'kesehatan', 'termasuk', 'gula', 'darah', 'kolesterol', 'dan', 'asam', 'urat']","['kegiatan', 'ikatan', 'dokter', 'indonesia', 'tangerang', 'acara', 'kanker', 'payudara', 'sedunia', 'diadakan', 'yayasan', 'respon', 'cepat', 'badan', 'darurat', 'kemanusiaan', 'perhimpunan', 'dokter', 'spesialis', 'penyakit', 'indonesia', 'perhimpunan', 'dokter', 'spesialis', 'ilmu', 'orthopaedi', 'traumatologi', 'indonesia', 'salah', 'satunya', 'pemeriksaan', 'kesehatan', 'gula', 'darah', 'kolesterol', 'asam', 'urat']","['giat', 'ikat', 'dokter', 'indonesia', 'tangerang', 'acara', 'kanker', 'payudara', 'dunia', 'ada', 'yayasan', 'respon', 'cepat', 'badan', 'darurat', 'manusia', 'himpun', 'dokter', 'spesialis', 'sakit', 'indonesia', 'himpun', 'dokter', 'spesialis', 'ilmu', 'orthopaedi', 'traumatologi', 'indonesia', 'salah', 'satu', 'periksa', 'sehat', 'gula', 'darah', 'kolesterol', 'asam', 'urat']","['giat', 'ikat', 'dokter', 'indonesia', 'tangerang', 'acara', 'kanker', 'payudara', 'dunia', 'ada', 'yayasan', 'respon', 'cepat', 'badan', 'darurat', 'manusia', 'himpun', 'dokter', 'spesialis', 'sakit', 'indonesia', 'himpun', 'dokter', 'spesialis', 'ilmu', 'orthopaedi', 'traumatologi', 'indonesia', 'salah', 'satu', 'periksa', 'sehat', 'gula', 'darah', 'kolesterol', 'asam', 'urat']",giat ikat dokter indonesia tangerang acara kanker payudara dunia ada yayasan respon cepat badan darurat manusia himpun dokter spesialis sakit indonesia himpun dokter spesialis ilmu orthopaedi traumatologi indonesia salah satu periksa sehat gula darah kolesterol asam urat,"[0.255903272741209, 0.20938116021102238, 0.18066748043215114, 0.22451998245947968, 0.3759736395306215, 0.2279622971964551, 0.09390628797842587, 0.07739545967449547, 0.23374512433646394, 0.23603492513814373, 0.25650253303714066, 0.2596019652355125, 0.23772488230531125, 0.22823166782229448, 0.2053077814959753, 0.23178769360081483, 0.30288929613618415, 0.18066748043215114, 0.26624861553962337, 0.17878135647325652, 0.22451998245947968, 0.30288929613618415, 0.18066748043215114, 0.26624861553962337, 0.22128116713783202, 0.20070006242547364, 0.20070006242547364, 0.22451998245947968, 0.2073116230101673, 0.24872909694548728, 0.29004405195606514, 0.19218522072500094, 0.23744983184866242, 0.2534075415834257, 0.3430244168261761, 0.24832931080407417, 0.26633165615122023]"
Wed Oct 26 02:00:00 +0000 2022,12,0,0,0,YakultIndonesia,https://x.com/YakultIndonesia/status/1585088827819008001,Mari menjaga kesehatan payudara dengan deteksi sedari dini. Penderita kanker payudara memiliki harapan besar untuk sembuh total jika penyakit tersebut terdeteksi sejak awal sehingga skrining dan deteksi dini penting dilakukan.,positif,Mari menjaga kesehatan payudara dengan deteksi sedari dini Penderita kanker payudara memiliki harapan besar untuk sembuh total jika penyakit tersebut terdeteksi sejak awal sehingga skrining dan deteksi dini penting dilakukan,mari menjaga kesehatan payudara dengan deteksi sedari dini penderita kanker payudara memiliki harapan besar untuk sembuh total jika penyakit tersebut terdeteksi sejak awal sehingga skrining dan deteksi dini penting dilakukan,"['mari', 'menjaga', 'kesehatan', 'payudara', 'dengan', 'deteksi', 'sedari', 'dini', 'penderita', 'kanker', 'payudara', 'memiliki', 'harapan', 'besar', 'untuk', 'sembuh', 'total', 'jika', 'penyakit', 'tersebut', 'terdeteksi', 'sejak', 'awal', 'sehingga', 'skrining', 'dan', 'deteksi', 'dini', 'penting', 'dilakukan']","['mari', 'menjaga', 'kesehatan', 'payudara', 'deteksi', 'sedari', 'penderita', 'kanker', 'payudara', 'memiliki', 'harapan', 'sembuh', 'total', 'penyakit', 'terdeteksi', 'skrining', 'deteksi']","['mari', 'jaga', 'sehat', 'payudara', 'deteksi', 'dar', 'derita', 'kanker', 'payudara', 'milik', 'harap', 'sembuh', 'total', 'sakit', 'deteksi', 'skrining', 'deteksi']","['mari', 'jaga', 'sehat', 'payudara', 'deteksi', 'dar', 'derita', 'kanker', 'payudara', 'milik', 'harap', 'sembuh', 'total', 'sakit', 'deteksi', 'skrining', 'deteksi']",mari jaga sehat payudara deteksi dar derita kanker payudara milik harap sembuh total sakit deteksi skrining deteksi,"[0.29934778150080055, 0.3067701627426578, 0.19218522072500094, 0.07739545967449547, 0.19947778906820834, 0.28234274153373173, 0.26593791078421564, 0.09390628797842587, 0.07739545967449547, 0.2331222841382826, 0.31395030875764396, 0.22642399274539, 0.2609456179560936, 0.17878135647325652, 0.19947778906820834, 0.29049552080126945, 0.19947778906820834]"
Sun Oct 30 08:50:04 +0000 2022,0,0,0,0,alineadotid,https://x.com/alineadotid/status/1586641573466771456,Kalbe mengajak masyarakat untuk deteksi dini kanker payudara,positif,Kalbe mengajak masyarakat untuk deteksi dini kanker payudara,kalbe mengajak masyarakat untuk deteksi dini kanker payudara,"['kalbe', 'mengajak', 'masyarakat', 'untuk', 'deteksi', 'dini', 'kanker', 'payudara']","['kalbe', 'mengajak', 'masyarakat', 'deteksi', 'kanker', 'payudara']","['kalbe', 'ajak', 'masyarakat', 'deteksi', 'kanker', 'payudara']","['kalbe', 'ajak', 'masyarakat', 'deteksi', 'kanker', 'payudara']",kalbe ajak masyarakat deteksi kanker payudara,"[0.6136821564814856, 0.30202932940605665, 0.3064112473912622, 0.19947778906820834, 0.09390628797842587, 0.07739545967449547]"
Wed Nov 02 01:03:11 +0000 2022,36,2,1,23,KemenkesRI,https://x.com/KemenkesRI/status/1587611244416053248,angka kesakitan dan kematian akibat kanker payudara bisa ditekan sepanjang mengetahui faktor risikonya. Mau tahu apa saja faktor risiko kanker payudara yang wajib diwaspadai?,positif,angka kesakitan dan kematian akibat kanker payudara bisa ditekan sepanjang mengetahui faktor risikonya Mau tahu apa saja faktor risiko kanker payudara yang wajib diwaspadai,angka kesakitan dan kematian akibat kanker payudara bisa ditekan sepanjang mengetahui faktor risikonya mau tahu apa saja faktor risiko kanker payudara yang wajib diwaspadai,"['angka', 'kesakitan', 'dan', 'kematian', 'akibat', 'kanker', 'payudara', 'bisa', 'ditekan', 'sepanjang', 'mengetahui', 'faktor', 'risikonya', 'mau', 'tahu', 'apa', 'saja', 'faktor', 'risiko', 'kanker', 'payudara', 'yang', 'wajib', 'diwaspadai']","['angka', 'kesakitan', 'kematian', 'akibat', 'kanker', 'payudara', 'ditekan', 'faktor', 'risikonya', 'faktor', 'risiko', 'kanker', 'payudara', 'wajib', 'diwaspadai']","['angka', 'sakit', 'mati', 'akibat', 'kanker', 'payudara', 'tekan', 'faktor', 'risiko', 'faktor', 'risiko', 'kanker', 'payudara', 'wajib', 'waspada']","['angka', 'sakit', 'mati', 'akibat', 'kanker', 'payudara', 'tekan', 'faktor', 'risiko', 'faktor', 'risiko', 'kanker', 'payudara', 'wajib', 'waspada']",angka sakit mati akibat kanker payudara tekan faktor risiko faktor risiko kanker payudara wajib waspada,"[0.28667430219853307, 0.17878135647325652, 0.2481119456919875, 0.26972848914225733, 0.09390628797842587, 0.07739545967449547, 0.2793838828097896, 0.32738446930055315, 0.22093357200688113, 0.32738446930055315, 0.22093357200688113, 0.09390628797842587, 0.07739545967449547, 0.3774065423091892, 0.3343043960731307]"
Thu Nov 17 11:38:38 +0000 2022,2,0,0,0,Koramil0725,https://x.com/Koramil0725/status/1593206977060302848,Kamis 17 November 2022 Pukul 09.00 wib sampai dengan selesai telah dilaksanakan kegiatan Rapat Pleno Tim Penggerak Pemberdayaan Kesejahteraan Keluarga (TP PKK) Kec.Sukodono tema *Penanggulangan Kanker Payudara dan Kanker Serviks bertempat di Aula Kecamatan Sukodono. Kabupaten Sragen.,positif,Kamis 17 November 2022 Pukul 0900 wib sampai dengan selesai telah dilaksanakan kegiatan Rapat Pleno Tim Penggerak Pemberdayaan Kesejahteraan Keluarga TP PKK KecSukodono tema Penanggulangan Kanker Payudara dan Kanker Serviks bertempat di Aula Kecamatan Sukodono Kabupaten Sragen,kamis 17 november 2022 pukul 0900 wib sampai dengan selesai telah dilaksanakan kegiatan rapat pleno tim penggerak pemberdayaan kesejahteraan keluarga tp pkk kecsukodono tema penanggulangan kanker payudara dan kanker serviks bertempat di aula kecamatan sukodono kabupaten sragen,"['kamis', '17', 'november', '2022', 'pukul', '0900', 'wib', 'sampai', 'dengan', 'selesai', 'telah', 'dilaksanakan', 'kegiatan', 'rapat', 'pleno', 'tim', 'penggerak', 'pemberdayaan', 'kesejahteraan', 'keluarga', 'tp', 'pkk', 'kecsukodono', 'tema', 'penanggulangan', 'kanker', 'payudara', 'dan', 'kanker', 'serviks', 'bertempat', 'di', 'aula', 'kecamatan', 'sukodono', 'kabupaten', 'sragen']","['kamis', '17', 'november', '2022', '0900', 'wib', 'selesai', 'dilaksanakan', 'kegiatan', 'rapat', 'pleno', 'tim', 'penggerak', 'pemberdayaan', 'kesejahteraan', 'keluarga', 'tp', 'pkk', 'kecsukodono', 'tema', 'penanggulangan', 'kanker', 'payudara', 'kanker', 'serviks', 'bertempat', 'aula', 'kecamatan', 'sukodono', 'kabupaten', 'sragen']","['kamis', '17', 'november', '2022', '0900', 'wib', 'selesai', 'laksana', 'giat', 'rapat', 'pleno', 'tim', 'gerak', 'daya', 'sejahtera', 'keluarga', 'tp', 'pkk', 'kecsukodono', 'tema', 'tanggulang', 'kanker', 'payudara', 'kanker', 'serviks', 'tempat', 'aula', 'camat', 'sukodono', 'kabupaten', 'sragen']","['kamis', '17', 'november', '2022', '0900', 'wib', 'selesai', 'laksana', 'giat', 'rapat', 'pleno', 'tim', 'gerak', 'daya', 'sejahtera', 'keluarga', 'tp', 'pkk', 'kecsukodono', 'tema', 'tanggulang', 'kanker', 'payudara', 'kanker', 'serviks', 'tempat', 'aula', 'camat', 'sukodono', 'kabupaten', 'sragen']",kamis 17 november 2022 0900 wib selesai laksana giat rapat pleno tim gerak daya sejahtera keluarga tp pkk kecsukodono tema tanggulang kanker payudara kanker serviks tempat aula camat sukodono kabupaten sragen,"[0.19254181639649282, 0.23358266323576662, 0.24297985424030868, 0.21572286416403622, 0.22431108206292835, 0.1892818296267171, 0.20522061454084767, 0.1691795554720254, 0.255903272741209, 0.20382892376538064, 0.22431108206292835, 0.24553876781204695, 0.38591566276607076, 0.2689233869840745, 0.22431108206292835, 0.28945193380840073, 0.19594576727883506, 0.27555622841890937, 0.22431108206292835, 0.21637840615871498, 0.27431675286002893, 0.09390628797842587, 0.07739545967449547, 0.09390628797842587, 0.2625319903199897, 0.21373795577323307, 0.18488654682172168, 0.2626972023133502, 0.22431108206292835, 0.24433096266607712, 0.22431108206292835]"
Thu Oct 27 09:42:44 +0000 2022,392,66,37,59,piyachu_24,https://x.com/piyachu_24/status/1585567666169077763,"Tidak, saya sangat suka susu kedelai. tetapi saya berujung operasi tumor payudara dan hasil pemeriksaannya hal itu karena pengaruh hormon. Akhirnya Dokter bedah melarang keras aku minum susu kedelai saya sangat suka susu kedelai dan aku bersedih",negatif,Tidak saya sangat suka susu kedelai tetapi saya berujung operasi tumor payudara dan hasil pemeriksaannya hal itu karena pengaruh hormon Akhirnya Dokter bedah melarang keras aku minum susu kedelai saya sangat suka susu kedelai dan aku bersedih,tidak saya sangat suka susu kedelai tetapi saya berujung operasi tumor payudara dan hasil pemeriksaannya hal itu karena pengaruh hormon akhirnya dokter bedah melarang keras aku minum susu kedelai saya sangat suka susu kedelai dan aku bersedih,"['tidak', 'saya', 'sangat', 'suka', 'susu', 'kedelai', 'tetapi', 'saya', 'berujung', 'operasi', 'tumor', 'payudara', 'dan', 'hasil', 'pemeriksaannya', 'hal', 'itu', 'karena', 'pengaruh', 'hormon', 'akhirnya', 'dokter', 'bedah', 'melarang', 'keras', 'aku', 'minum', 'susu', 'kedelai', 'saya', 'sangat', 'suka', 'susu', 'kedelai', 'dan', 'aku', 'bersedih']","['suka', 'susu', 'kedelai', 'berujung', 'operasi', 'tumor', 'payudara', 'hasil', 'pemeriksaannya', 'pengaruh', 'hormon', 'dokter', 'bedah', 'melarang', 'keras', 'minum', 'susu', 'kedelai', 'suka', 'susu', 'kedelai', 'bersedih']","['suka', 'susu', 'kedelai', 'ujung', 'operasi', 'tumor', 'payudara', 'hasil', 'periksa', 'pengaruh', 'hormon', 'dokter', 'bedah', 'larang', 'keras', 'minum', 'susu', 'kedelai', 'suka', 'susu', 'kedelai', 'sedih']","['suka', 'susu', 'kedelai', 'ujung', 'operasi', 'tumor', 'payudara', 'hasil', 'periksa', 'pengaruh', 'hormon', 'dokter', 'bedah', 'larang', 'keras', 'minum', 'susu', 'kedelai', 'suka', 'susu', 'kedelai', 'sedih']",suka susu kedelai ujung operasi tumor payudara hasil periksa pengaruh hormon dokter bedah larang keras minum susu kedelai suka susu kedelai sedih,"[0.2336135837671897, 0.3960910964930825, 0.3971164681861209, 0.2884375297716627, 0.2608645548543021, 0.2710899089868283, 0.07739545967449547, 0.27839057803242423, 0.29004405195606514, 0.26126970780482234, 0.2886367643058347, 0.18066748043215114, 0.27982900607658306, 0.28578986518269395, 0.22389701770595302, 0.2646246946233457, 0.3960910964930825, 0.3971164681861209, 0.2336135837671897, 0.3960910964930825, 0.3971164681861209, 0.2632434801811517]"
